Name	Abbr	Group	ISSN	eISSN	IF_2025	Five_Year_JIF	JIF_Quartile	JIF_Rank
Immigrants and Minorities	IMMIGR MINOR	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0261-9288	1744-0521	0.3	0.6	Q2	176/538
Recherches de Theologie et Philosophie Medievales	RECH THEOL PHILOS ME	PEETERS	1370-7493	1783-1717	0.3	0.3		
JOURNAL OF RELIGIOUS ETHICS	J RELIG ETHICS	WILEY	0384-9694	1467-9795	0.3	0.4		
STUDIA NEOPHILOLOGICA	STUD NEOPHILOL	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0039-3274	1651-2308	0.3	0.5		
URBAN HISTORY REVIEW-REVUE D HISTOIRE URBAINE	URBAN HIST REV	UNIV TORONTO PRESS INC	0703-0428	1918-5138	0.3	0.3	Q2	176/538
FABULA	FABULA	WALTER DE GRUYTER GMBH	0014-6242	1613-0464	0.3	0.2		
SCIENCE-FICTION STUDIES	SCI-FICTION STUD	SCIENCE-FICTION STUDIES	0091-7729		0.3	0.3		
Literature and Theology	LIT THEOL	OXFORD UNIV PRESS	0269-1205	1477-4623	0.3	0.2		
Rusin	RUSIN	ASSOC RUS	1857-2685	2345-1149	0.3	0.2	Q2	176/538
LEONARDO	LEONARDO	MIT PRESS	0024-094X	1530-9282	0.3	0.4		
Skhidnoievropeiskyi Istorychnyi Visnyk-East European Historical Bulletin	SKHIDNOIEVRO ISTOR V	IVAN FRANKO DROHOBYCH STATE PEDAGOGICAL UNIV	2519-058X	2519-058X	0.3	0.2	Q2	176/538
SOUTHERN CULTURES	SOUTH CULT	UNIV NORTH CAROLINA PRESS	1068-8218	1534-1488	0.3	0.4	Q2	176/538
TULSA STUDIES IN WOMENS LITERATURE	TULSA STUD WOMEN LIT	UNIV TULSA	0732-7730		0.3	0.3		
Cultural History	CULT HIST	EDINBURGH UNIV PRESS	2045-290X	2045-2918	0.3	0.4	Q2	176/538
NEOPHILOLOGUS	NEOPHILOLOGUS	SPRINGER	0028-2677	1572-8668	0.3	0.3		
CAHIERS DU MONDE RUSSE	CAH MONDE RUSSE	EDITIONS ECOLE HAUTESETUDES & SCIENCES SOCIALES	1252-6576	1777-5388	0.3	0.4	Q2	176/538
Journal of Anglican Studies	J ANGLICAN STUD	CAMBRIDGE UNIV PRESS	1740-3553	1745-5278	0.3	0.4		
Journal of the Gilded Age and Progressive Era	J GILDED AGE PROGR E	CAMBRIDGE UNIV PRESS	1537-7814	1943-3557	0.3	0.4	Q2	176/538
KRITIKA-EXPLORATIONS IN RUSSIAN AND EURASIAN HISTORY	KRITIKA	SLAVICA PUBLISHERS	1531-023X	1538-5000	0.3	0.3	Q2	176/538
Journal of Israeli History	J ISR HIST	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1353-1042	1744-0548	0.3	0.2	Q2	176/538
Metacritic Journal for Comparative Studies and Theory	METACRITIC J COMP ST	"UNIV BABES-BOLYAI, FAC LETTERS, PHANTASMA CTR IMAGINATION STUDIES"		2457-8827	0.3	0.2		
CHURCH HISTORY	CHURCH HIST	CAMBRIDGE UNIV PRESS	0009-6407	1755-2613	0.3	0.3	Q2	176/538
Imago Temporis-Medium Aevum	IMAGO TEMPORIS	SPACE POWER & CULTURE- CONSOLIDATED MEDIEVAL SUTDIES RESEARCH GROUP	1888-3931	2340-7778	0.3	0.3	Q2	176/538
JOURNAL OF ASIAN HISTORY	J ASIAN HIST	VERLAG OTTO HARRASSOWITZ	0021-910X	0021-910X	0.3	0.2	Q2	176/538
Studia Historica-Historia Medieval	STUD HIST-HIST MEDIE	EDICIONES UNIV SALAMANCA	0213-2060	0213-2060	0.3	0.4		
Early American Studies-An Interdisciplinary Journal	EARLY AM STUD	UNIV PENNSYLVANIA PRESS	1543-4273	1559-0895	0.3	0.5	Q2	176/538
Historia Critica	HIST CRITICA	UNIV ANDES	0121-1617	1900-6152	0.3	0.6	Q2	176/538
MELUS	MELUS	OXFORD UNIV PRESS INC	0163-755X	1946-3170	0.3	0.4		
Disparidades-Revista de Antropologia	DISPARIDADES	CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC		2659-6881	0.3	0.3		
ZEITSCHRIFT FUR ANGLISTIK UND AMERIKANISTIK	Z ANGLIST AM	WALTER DE GRUYTER GMBH	0044-2305	2196-4726	0.3	0.3		
Verbum Vitae	VERBUM VITAE	JOHN PAUL II CATHOLIC UNIV LUBLIN	1644-8561	2451-280X	0.3			
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK	AAA-ARB ANGLIST AM	GUNTER NARR VERLAG	0171-5410		0.3	0.3		
Configurations	CONFIGURATIONS	JOHNS HOPKINS UNIV PRESS	1063-1801	1080-6520	0.3	0.5	Q4	85/112
Islam and Christian-Muslim Relations	ISLAM CHRIST-MUSLIM	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0959-6410	1469-9311	0.3	0.7		
STUDIES IN PHILOLOGY	STUD PHILOL	UNIV NORTH CAROLINA PRESS	0039-3738	1543-0383	0.3	0.3		
YALE REVIEW	YALE REV	JOHNS HOPKINS UNIV PRESS	0044-0124	1467-9736	0.3	0.3		
Frantsuzskii Ezhegodnik-Annuaire d Etudes Francaises	FR EZHEGODNIK	"RUSSIAN ACAD SCIENCES, INST WORLD HISTORY"	0235-4349	0235-4349	0.3	0.1	Q2	176/538
KOREA JOURNAL	KOREA J	ACAD KOREAN STUDIES	0023-3900	0023-3900	0.3	0.5		
Sungkyun Journal of East Asian Studies	SUNGKYUN J EAST ASIA	"ACAD EAST ASIAN STUD, SUNGKYUNKWAN UNIVERSITY"	1598-2661		0.3	0.2		
JOURNAL OF ECCLESIASTICAL HISTORY	J ECCLESIAST HIST	CAMBRIDGE UNIV PRESS	0022-0469	1469-7637	0.3	0.3	Q2	176/538
SOUTHEASTERN EUROPE	SOUTHEAST EUR	BRILL	0094-4467	1876-3332	0.3	0.3	Q3	135/182
European Journal of Science and Theology	EUR J SCI THEOL	ACAD ORGANISATION ENVIRONMENTAL ENGINEERING & SUSTAINABLE DEV	1841-0464	1842-8517	0.3	0.3		
Dutch Crossing-Journal of Low Countries Studies	DUTCH CROSSING	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0309-6564	1759-7854	0.3	0.4	Q2	176/538
JOURNAL OF WOMENS HISTORY	J WOMENS HIST	JOHNS HOPKINS UNIV PRESS	1042-7961	1527-2036	0.3	0.6	Q2	176/538
Nauka Televideniya-The Art and Science of Television	NAUKA TELEVIDENIYA	GUMANITARNII INST TELEVIDENIYA & RADIOVESCHANIYA IMENI M A LITOVCHINA-GITR	1994-9529	2587-9782	0.3	0.2		
Arabica	ARABICA	BRILL	0570-5398	1570-0585	0.3	0.4	Q2	176/538
Craft Research	CRAFT RES	INTELLECT LTD	2040-4689	2040-4697	0.3	0.5		
Onati Socio-Legal Series	ONATI SOCIO-LEGAL S	ONATI INT INST SOCIOLOGY LAW		2079-5971	0.3	0.5	Q3	278/434
Revista de Cancioneros Impresos y Manuscritos	REV CANCION IMPR MAN	UNIV ALICANTE	2254-7444	2254-7444	0.3	0.3		
JOURNAL OF INDIAN PHILOSOPHY	J INDIAN PHILOS	SPRINGER	0022-1791	1573-0395	0.3	0.3		
Journal for the Study of Religion Nature and Culture	J STUD RELIG NAT CUL	EQUINOX PUBLISHING LTD	1749-4907	1749-4915	0.3	0.5		
MARINERS MIRROR	MARINERS MIRROR	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0025-3359	2049-680X	0.3	0.2	Q2	176/538
Revista Complutense de Historia de America	REV COMPLUT HIST AM	"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES"	1132-8312	1988-270X	0.3	0.3	Q2	176/538
Irish Theological Quarterly	IR THEOL Q	SAGE PUBLICATIONS LTD	0021-1400	1752-4989	0.3	0.3		
JOURNAL OF RELIGIOUS HISTORY	J RELIG HIST	WILEY	0022-4227	1467-9809	0.3	0.4	Q2	176/538
Medieval Mystical Theology	MEDIEV MYSTICAL THEO	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	2046-5726	2046-5734	0.3	0.2		
Studies in World Christianity	STUD WORLD CHRIST	EDINBURGH UNIV PRESS	1354-9901	1750-0230	0.3	0.4		
Comparative Philosophy-An International Journal of Constructive Engagement of Distinct Approaches toward World Philosophy	COMP PHILOS	SAN JOSE STATE UNIV		2151-6014	0.3	0.3		
NINETEENTH CENTURY MUSIC	NINETEEN CENT MUSIC	UNIV CALIFORNIA PRESS	0148-2076		0.3	0.4		
Studia Historica-Historia Moderna	STUD HIST-HIST MOD	EDICIONES UNIV SALAMANCA	0213-2079	2386-3889	0.3	0.3	Q2	176/538
Vestnik Sankt-Peterburgskogo Universiteta-Istoriya	VESTN ST PETER U-IST	ST PETERSBURG UNIV PRESS	1812-9323	1812-9323	0.3	0.2	Q2	176/538
International Bulletin of Mission Research	INT BULL MISSION RES	SAGE PUBLICATIONS INC	2396-9393	2396-9407	0.3	0.3		
Journal of Iberian and Latin American Studies	J IBER LAT AM STUD	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1470-1847	1469-9524	0.3	0.5		
Journal of Modern Jewish Studies	J MOD JEW STUD	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1472-5886	1472-5894	0.3	0.4		
Noveishaya Istoriya Rossii-Modern History of Russia	NOVEISHAYA ISTOR ROS	ST PETERSBURG UNIV PRESS	2219-9659	2309-7973	0.3	0.3	Q2	176/538
GESCHICHTE UND GESELLSCHAFT	GESCH GES	Brill Deutschland GmbH	0340-613X	2196-9000	0.3	0.4	Q2	176/538
JOURNAL OF AMERICAN STUDIES	J AM STUD	CAMBRIDGE UNIV PRESS	0021-8758	1469-5154	0.3	0.4		
Nordic Journal of Religion and Society	NORD J RELIG SOC	SCANDINAVIAN UNIV PRESS-UNIVERSITETSFORLAGET AS	0809-7291	1890-7008	0.3	0.6		
Zeitschrift fur Assyriologie und Vorderasiatische Archaologie	Z ASSYRIOL VORDERASI	WALTER DE GRUYTER GMBH	0084-5299	1613-1150	0.3	0.3	Q2	176/538
Philosophy and Cosmology-Filosofiya i Kosmologiya	PHILOS COSMOL	INT SOC PHILOSOPHY & COSMOLOGY	2307-3705	2518-1866	0.3	0.2		
RELIGION AND AMERICAN CULTURE-A JOURNAL OF INTERPRETATION	RELIG AM CULT	CAMBRIDGE UNIV PRESS	1052-1151	1533-8568	0.3	0.5	Q2	176/538
Malaysian Journal of Music	MALAYS J MUSIC	"UNIV PENDIDIKAN SULTAN IDRIS, FAC MUSIC & PERFORMING ARTS"	2600-9366	2600-9331	0.3	0.3		
Cuadernos de Historia Contemporanea	CUAD HIST CONTEMP	"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES"	0214-400X	1988-2734	0.3	0.4	Q2	176/538
In die Skriflig-In Luce Verbi	SKRIFLIG	AOSIS	1018-6441	2305-0853	0.3	0.4		
OSTERREICHISCHE ZEITSCHRIFT FUR VOLKSKUNDE	OSTERR Z VOLSKUNDE	VEREIN FUR VOLKSKUNDE	0029-9669		0.3	0.1		
Investigaciones de Historia Economica	INVESTIG HIST ECON	ASOC ESPANOLA HISTORIA ECONOMICA	1698-6989	2340-3373	0.3	0.4	Q2	176/538
Journal of Scottish Historical Studies	J SCOTT HIST STUD	EDINBURGH UNIV PRESS	1748-538X	1755-1749	0.3	0.3	Q2	176/538
PHILOSOPHY EAST & WEST	PHILOS EAST WEST	UNIV HAWAII PRESS	0031-8221	1529-1898	0.3	0.4		
Arts	ARTS	MDPI		2076-0752	0.3	0.5		
European Journal of Cultural Management and Policy	EUR J CULT MANAG POL	FRONTIERS MEDIA SA	2663-5771	2663-5771	0.3	0.4		
World of Music-New Series	WORLD MUSIC-NEW SER	VWB-VERLAG WISSENSCHAFT & BILDUNG	0043-8774		0.3	0.4		
Cultura y Religion	CULT RELIG-CHILE	"UNIV ARTURO PRAT, INST ESTUDIOS INDIGENAS"	0718-5472	0718-4727	0.3	0.3		
International Journal of Maritime History	INT J MARIT HIST	SAGE PUBLICATIONS LTD	0843-8714	2052-7756	0.3	0.3	Q2	176/538
JOURNAL OF ANALYTICAL PSYCHOLOGY	J ANAL PSYCHOL	WILEY	0021-8774	1468-5922	0.3	0.5	Q3	16/22
JOURNAL OF JEWISH STUDIES	J JEWISH STUD	OXFORD CENTRE HEBREW JEWISH STUDIES	0022-2097	0022-2097	0.3	0.3		
EIGHTEENTH-CENTURY STUDIES	EIGHTEENTH-CENT STUD	JOHNS HOPKINS UNIV PRESS	0013-2586	1086-315X	0.3	0.5		
Frontiers of Mathematics in China	FRONT MATH CHINA	HIGHER EDUCATION PRESS	1673-3452	1673-3576	0.3	0.9	Q4	432/483
Iran and the Caucasus	IRAN CAUCASUS	BRILL	1609-8498	1573-384X	0.3	0.3	Q2	176/538
South African Journal of Cultural History	SOUTH AFR J CULT HIS	SOUTH AFRICAN SOC CULTURAL HISTORY	1011-3053	1011-3053	0.3	0.2	Q2	176/538
OUD HOLLAND	OUD HOLLAND	BRILL		1875-0176	0.3	0.1		
PHILOSOPHY TODAY	PHILOS TODAY	PHILOSOPHY TODAY DEPAUL UNIV	0031-8256	2329-8596	0.3	0.3		
Disegnarecon	DISEGNARECON	UNIV L AQUILA	1828-5961	1828-5961	0.3	0.3		
Estudios de Historia Novohispana	ESTUD HIST NOVOHISP	"UNIV NACIONAL AUTONOMA MEXICO-UNAM, INST INVESTIGACIONES HISTORICAS"	1870-9060	2448-6922	0.3	0.3	Q2	176/538
Twentieth-Century Music	TWENT-CENTURY MUSIC	CAMBRIDGE UNIV PRESS	1478-5722	1478-5730	0.3	0.4		
AMERICAN LITERARY REALISM	AM LIT REALISM	UNIV ILLINOIS PRESS	1540-3084	1940-5103	0.3	0.5		
Common Knowledge	COMMON KNOWL	DUKE UNIV PRESS	0961-754X	1538-4578	0.3	0.6		
Film Fashion & Consumption	FILM FASH CONSUM	INTELLECT LTD	2044-2823	2044-2831	0.3	0.3		
Journal of Popular Music Studies	J POP MUSIC STUD	UNIV CALIFORNIA PRESS	1524-2226	1533-1598	0.3	0.7		
Language & History	LANG HIST	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1759-7536	1759-7544	0.3	0.4	Q2	176/538
Diplomacy & Statecraft	DIPL STATECRAFT	TAYLOR & FRANCIS INC	0959-2296	1557-301X	0.3	0.4	Q2	176/538
Industrial Archaeology Review	IND ARCHAEOL REV	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0309-0728	1745-8196	0.3	0.2	Q2	176/538
BYZANTINE AND MODERN GREEK STUDIES	BYZANTINE MOD GREEK	CAMBRIDGE UNIV PRESS	0307-0131	1749-625X	0.3	0.4		
Hawwa	HAWWA	BRILL	1569-2078	1569-2086	0.3	0.5		
HISTOIRE SOCIALE-SOCIAL HISTORY	HIST SOC/SOC HIST	HISTOIRE SOCIALE DEPT HISTORY	0018-2257	0018-2257	0.3	0.3	Q2	176/538
Journal for the Study of the Old Testament	J STUD OLD TESTAM	SAGE PUBLICATIONS LTD	0309-0892	1476-6728	0.3	0.4		
Liverpool Law Review	LIVERP LAW REV	SPRINGER	0144-932X	1572-8625	0.3	0.5	Q3	278/434
Snippets	SNIPPETS	LED EDIZIONI UNIV	1590-1807	1590-1807	0.3	0.1		
ARTMargins	ARTMARGINS-CAMBRIDGE	MIT PRESS	2162-2574	2162-2582	0.3	0.2		
EIRE-IRELAND	EIRE-IRELAND	IRISH AMER CULTURAL INST	0013-2683	1550-5162	0.3	0.5		
Journal of Egyptian History	J EGYPT HIST	BRILL	1874-1657	1874-1665	0.3	0.4	Q2	176/538
Journal of Iberian and Latin American Research	J IBER LAT AM RES	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1326-0219	2151-9668	0.3	0.2		
Journal of World Popular Music	J WORLD POP MUS	EQUINOX PUBLISHING LTD	2052-4900	2052-4919	0.3	0.3		
Labour History	LABOUR HIST-AUST	LIVERPOOL UNIV PRESS	0023-6942	1839-3039	0.3	0.5	Q2	176/538
Vegueta-Anuario de la Facultad de Geografia e Historia	VEGUETA	"UNIV LAS PALMAS GRAN CANARIA, FAC GEOGRAFIA & HISTORIA"	1133-598X	2341-1112	0.3	0.4	Q2	176/538
AMERICAN JOURNAL OF LEGAL HISTORY	AM J LEG HIST	OXFORD UNIV PRESS	0002-9319	2161-797X	0.3	0.6	Q3	278/434
BLACK THEOLOGY	BLACK THEOL	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1476-9948	1743-1670	0.3	0.3		
Boletin de la Asociacion Internacional de Derecho Cooperativo-International Association of Cooperative Law Journal	BOL ASOC INT DERECHO	"UNIV DEUSTO, FAC DERECHO"	1134-993X	2386-4893	0.3	0.4	Q3	278/434
Apeiron-A Journal for Ancient Philosophy and Science	APEIRON-J ANC PHILOS	WALTER DE GRUYTER GMBH	0003-6390	2156-7093	0.3	0.5		
Canadian Journal of History-Annales Canadiennes d Histoire	CAN J HIST	UNIV TORONTO PRESS INC	0008-4107	2292-8502	0.3	0.3	Q2	176/538
International Journal of Systematic Theology	INT J SYST THEOL	WILEY	1463-1652	1468-2400	0.3	0.3		
JOURNAL OF THE SOUTHWEST	J SOUTHWEST	UNIV ARIZONA	0894-8410	2158-1371	0.3	0.2	Q2	176/538
JOURNAL OF URBAN HISTORY	J URBAN HIST	SAGE PUBLICATIONS INC	0096-1442	1552-6771	0.3	0.5	Q2	176/538
Science Fiction Film and Television	SCI FICT FILM TELEV	LIVERPOOL UNIV PRESS	1754-3770	1754-3789	0.3	0.3		
ASIAN THEATRE JOURNAL	ASIAN THEATRE J	UNIV HAWAII PRESS	0742-5457	1527-2109	0.3	0.2		
Chinese Semiotic Studies	CHIN SEMIOT STUD	DE GRUYTER MOUTON	2198-9605	2198-9613	0.3	0.5		
Early Medieval China	EARLY MEDIEV CHINA	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1529-9104	1946-7842	0.3	0.4		
European Journal of Jewish Studies	EUR J JEW STUD	BRILL	1025-9996	1872-471X	0.3	0.3	Q2	176/538
London Journal	LOND J	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0305-8034	1749-6322	0.3	0.4	Q2	176/538
PHILOSOPHICAL INVESTIGATIONS	PHILOS INVEST	WILEY	0190-0536	1467-9205	0.3	0.2		
Al-Bayan-Journal of Quran and Hadith Studies	AL-BAYAN	BRILL	2232-1950	2232-1969	0.3	0.3		
Biblical Interpretation-A Journal of Contemporary Approaches	BIBLIC INTERPRET	BRILL	0927-2569	1568-5152	0.3	0.4		
East Asian Publishing and Society	EAST ASIAN PUBL SOC	BRILL	2210-6278	2210-6286	0.3	0.3		
East Central Europe	E CENT EUR	BRILL	0094-3037	1876-3308	0.3	0.5	Q2	176/538
Innes Review	INNES REV	EDINBURGH UNIV PRESS	0020-157X	1745-5219	0.3	0.3		
International Journal of Philosophy and Theology	INT J PHILOS THEOL	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	2169-2327	2169-2335	0.3	0.4		
Journal of Spiritual Formation and Soul Care	J SPIRIT FORM SOUL C	SAGE PUBLICATIONS LTD	1939-7909	2328-1030	0.3	0.5		
Occasional Papers on Religion in Eastern Europe	OCCAS PAP RELIG E EU	CHRISTIANS ASSOC RELATIONSHIPS EASTERN EUROPE		1069-4781	0.3	0.2		
Teologia y Vida	TEOL VIDA	"PONTIFICIA UNIV CATOLICA CHILE, FACULTAD TEOLOGIA"	0049-3449	0717-6295	0.3	0.2		
Costume-The Journal of the Costume Society	COSTUME	EDINBURGH UNIV PRESS	0590-8876	1749-6306	0.3	0.2		
ARCHIVES OF ASIAN ART	ARCH ASIAN ART	DUKE UNIV PRESS	0066-6637	1944-6497	0.3	0.3		
Discourse-Journal for Theoretical Studies in Media and Culture	DISCOURSE-J THEOR ST	WAYNE STATE UNIV PRESS	1522-5321	1536-1810	0.3	0.4		
Interdisciplinary Journal for Religion and Transformation in Contemporary Society	INTERD J RELIG TRANS	BRILL	2365-3140	2364-2807	0.3	0.5		
Italian Culture	ITAL CULT	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0161-4622	1559-0909	0.3	0.2		
Legal Ethics	LEG ETHICS	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1460-728X	1757-8450	0.3	0.3	Q3	278/434
MUSIC EDUCATORS JOURNAL	MUSIC EDUCATORS J	SAGE PUBLICATIONS INC	0027-4321	1945-0087	0.3		Q4	628/756
Studia Islamika	STUD ISLAM	"SYARIF HIDAYATULLAH STATE ISLAMIC UNIV JAKARTA, CENTER STUDY ISLAM & SOC"	0215-0492	2355-6145	0.3	0.4		
Studies in American Jewish Literature	STUD AM JEW LIT	PENN STATE UNIV PRESS	0271-9274	1948-5077	0.3	0.3		
Theology & Sexuality	THEOL SEX	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1355-8358	1745-5170	0.3	0.5		
Liturgy	LITURGY	TAYLOR & FRANCIS INC	0458-063X	1557-3001	0.3	0.4		
Resonancias	RESONANCIAS	PONTIFICIA UNIV CATOLICA CHILE	0717-3474	0719-5702	0.3	0.4		
Revista Internacional de Educacion Musical	REV INT EDUC MUSICAL	SAGE PUBLICATIONS LTD	2307-4841	2307-4841	0.3	0.3		
SOUTH AFRICAN JOURNAL OF PHILOSOPHY	S AFR J PHILOS	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0258-0136	2073-4867	0.3	0.5		
VETUS TESTAMENTUM	VETUS TESTAMENTUM	BRILL	0042-4935		0.3	0.4		
Architectural Histories	ARCHIT HIST-LONDON	UBIQUITY PRESS LTD	2050-5833	2050-5833	0.3	0.4		
Film-Philosophy	FILM-PHILOS	EDINBURGH UNIV PRESS	1466-4615	1466-4615	0.3	0.4		
Journal of Early American History	J EARLY AM HIST	BRILL	1877-0223	1877-0703	0.3	0.5	Q2	176/538
Journal of Nusantara Studies-JONUS	J NUSANT STUD-JONUS	UNIV SULTAN ZAINAL ABIDIN	0127-9319	0127-9386	0.3	0.4	Q3	135/182
South Asian Popular Culture	S ASIAN POPUL CULT	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1474-6689	1474-6697	0.3	0.5	Q3	43/64
Washington International Law Journal	WASH INT LAW J	UNIV WASHINGTON	2377-0872	2377-0872	0.3	0.8	Q3	278/434
Anuario de la Escuela de Historia Virtual	ANU ESC HIST VIRTUAL	"UNIV NAC CORDOBA, FAC FILOSOFIA HUMANIDADES"	1853-7049	1853-7049	0.3	0.2	Q2	176/538
British Catholic History	BRIT CATHOL HIST	CAMBRIDGE UNIV PRESS	2055-7973	2055-7981	0.3	0.2	Q2	176/538
Musica Hodie	MUSICA HODIE	UNIV FEDERAL GOIAS	1676-3939	2317-6776	0.3	0.2		
Photography and Culture	PHOTOGR CULT	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1751-4517	1751-4525	0.3	0.3		
Studia Theologica-Nordic Journal of Theology	STUD THEOL	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0039-338X	1502-7791	0.3	0.5		
WOMENS STUDIES-AN INTERDISCIPLINARY JOURNAL	WOMEN STUD	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0049-7878	1547-7045	0.3	0.4		
Architectural Theory Review	ARCHIT THEORY REV	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1326-4826	1755-0475	0.3	0.4		
AUSTRALIAN LAW JOURNAL	AUST LAW J	LAWBOOK CO LTD	0004-9611	0004-9611	0.3	0.2	Q3	278/434
Cosmos and History-The Journal of Natural and Social Philosophy	COSM HIST	COSMOS PUBL COOPERATIVE	1832-9101	1832-9101	0.3	0.2		
Journal of Landscape Architecture	J LANDSC ARCHIT	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1862-6033	2164-604X	0.3	1.1		
Militargeschichtliche Zeitschrift	MILITARGESCH Z	WALTER DE GRUYTER GMBH	2193-2336	2196-6850	0.3	0.2	Q2	176/538
Prostor	PROSTOR	UNIV ZAGREB FAC ARCHITECTURE	1330-0652	1333-9117	0.3	0.3		
SEFARAD	SEFARAD	CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC	0037-0894	1988-320X	0.3	0.2		
STUDIES IN RELIGION-SCIENCES RELIGIEUSES	STUD RELIG-SCI RELIG	SAGE PUBLICATIONS LTD	0008-4298	2042-0587	0.3	0.3		
Tradition & Discovery	TRADIT DISCOV	POLANYI SOC	1057-1027	2154-1566	0.3	0.3		
CRITICA-REVISTA HISPANOAMERICANA DE FILOSOFIA	CRITICA	CRITICA	0011-1503	1870-4905	0.3	0.4		
Humanities-Basel	HUMANITIES-BASEL	MDPI		2076-0787	0.3	0.4		
International Journal of Religion and Spirituality in Society	INT J RELIG SPIRITUA	Common Ground Research Networks	2154-8633	2154-8641	0.3		Q2	176/538
Islamic Africa	ISLAM AFR-US	BRILL	0803-0685	2154-0993	0.3	0.3		
Phainomena	PHAINOMENA	"INST NOVE REVIJE ZAVOD HUMANISTIKO, FENOMENOLOSKO DRUSTVO LJUBLJANI"	1318-3362	2232-6650	0.3	0.3		
CULTURAL CRITIQUE	CULT CRIT	UNIV MINNESOTA PRESS	0882-4371	1460-2458	0.3	0.3	Q3	43/64
Exchange-Journal of Contemporary Christianities in Context	EXCHANGE-LEIDEN	BRILL	0166-2740	1572-543X	0.3	0.4		
Jahrbuch Fur Wirtschaftsgeschichte	JB WIRTSCHAFTSGESCHI	WALTER DE GRUYTER GMBH	0075-2800	2196-6842	0.3		Q2	176/538
Asian Journal of Law and Economics	ASIAN J LAW ECON	WALTER DE GRUYTER GMBH	2194-6086	2154-4611	0.3	0.5	Q3	278/434
Interdisciplinaria Archaeologica-Natural Sciences in Archaeology	INTERDISCIP ARCHAEOL	UNIV HRADEC KRALOVE	1804-848X	2336-1220	0.3		Q2	176/538
Midland History	MIDL HIST	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0047-729X	1756-381X	0.3	0.2	Q2	176/538
Revista Guillermo de Ockham	REV GUILLERMO OCKHAM	Univ San Buenaventura Cali		2256-3202	0.3			
Oido Pensante	OIDO PENSANTE	"UNIV BUENOS AIRES, FAC FILOSOFIA & LETRAS, INST CIENCIAS ANTROPOLOGICS"	2250-7116	2250-7116	0.3	0.3		
Ukrainskyi Istorychnyi Zhurnal	UKR ISTORYCHNYI ZH	"NATL ACAD SCIENCES UKRAINE, INST HISTORY UKRAINE"	0130-5247	1729-570X	0.3	0.2	Q2	176/538
ANGELAKI-JOURNAL OF THE THEORETICAL HUMANITIES	ANGELAKI	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0969-725X	1469-2899	0.3	0.6		
European Legacy-Toward New Paradigms	EUR LEG	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1084-8770	1470-1316	0.3	0.3		
FILM CRITICISM	FILM CRITICISM	FILM CRITICISM	0163-5069	0163-5069	0.3	0.2		
HISPANIA-REVISTA ESPANOLA DE HISTORIA	HISPANIA	CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC	0018-2141	1988-8368	0.3	0.4	Q2	176/538
PSYCHE-ZEITSCHRIFT FUR PSYCHOANALYSE UND IHRE ANWENDUNGEN	PSYCHE-Z PSYCHOANAL	KLETT-COTTA VERLAG	0033-2623		0.3	0.3	Q3	16/22
